а - абсолютная частота(встречается в тексте раз): 19, относительная частота: 0.007658202
сердитым - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мечтаниям - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
стакан - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
буран - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
переведен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
немаловажен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нужен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
силен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
болен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
доволен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
времен - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мин - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
барин - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
полтин - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хозяин - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
он - абсолютная частота(встречается в тексте раз): 27, относительная частота: 0.010882708
вон - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
гарнизон - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сон - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
о - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
слабо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
небо - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
ибо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
спасибо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
во - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
вправо - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
дерево - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
ласково - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
слово - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
перво - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
беспокойство - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
превосходительство - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
его - абсолютная частота(встречается в тексте раз): 28, относительная частота: 0.011285772
него - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
среднего - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лишнего - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
своего - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
моего - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
чего - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нечего - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
ничего - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
выручившего - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глубокого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
высокого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
воровского - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
яицкого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
всякого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
самого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бедного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
одного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сгорбленного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
усмиренного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ясного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
честного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мутного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
неприятного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поспешного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
больного - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
доброго - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
которого - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
строго - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вожатого - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
этого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
большого - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
до - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
ко - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
однако - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
легко - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
недалеко - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
немножко - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
близко - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
облачко - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
владыко - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
только - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
тихонько - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
предвещало - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
завело - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дело - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
тяжело - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
имело - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
весело - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
исчезло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
жило - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
послужило - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ободрило - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мучило - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
около - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пахнуло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
шло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
было - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
забыло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сияло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
забавляло - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мимо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
письмо - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
угрюмо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
прямо - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
но - абсолютная частота(встречается в тексте раз): 9, относительная частота: 0.0036275694
сделано - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
равно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тавно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хладнокровно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
досадно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вредно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поздно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
видно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
одно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сродно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ненадежно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
должно - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
можно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дружно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чрезвычайно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
темно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заблаговременно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
непременно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
постепенно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
совершенно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
проворно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
согласно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
напрасно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
софестно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поминутно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вероятно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
конечно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
значительно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сильно - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
довольно - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
по - абсолютная частота(встречается в тексте раз): 12, относительная частота: 0.0048367595
глупо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
добро - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
скоро - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
про - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
быстро - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
со - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
то - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
дорога-то - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
так-то - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
что-то - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сержусь-то - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сердито - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сто - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
место - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вместо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
что - абсолютная частота(встречается в тексте раз): 40, относительная частота: 0.016122531
нечто - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
покрыто - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
это - абсолютная частота(встречается в тексте раз): 13, относительная частота: 0.0052398224
тихо - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лицо - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
хорошо - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
поп - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тулуп - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
брудер - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ветер - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
мундир - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
забор - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
двор - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
разговор - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
выговор - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пор - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
топор - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
вечор - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
петр - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
с - абсолютная частота(встречается в тексте раз): 32, относительная частота: 0.012898025
вас - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ужас - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нас - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
час - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
сейчас - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тотчас - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
внес - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поднес - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
принес - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
голос - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
виноват - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
брат - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
желает - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
приподымает - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
знает - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
играет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сметает - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
встречает - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
одет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
будет - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
лет - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
предмет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
умет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нет - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
утихнет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
жалует - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пьет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пропьет - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
благословит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ходит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лежит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
велит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
смыслит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
извинит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
помнит - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
говорит - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
значит - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
от - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
вот - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
ворот - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
паспорт - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
будут - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
скажут - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хомут - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тут - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
пишут - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
узнают - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
стоят - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
у - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
шубу - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
свадьбу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
голову - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
снегу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
богу - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
дорогу - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
досаду - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
следу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
между - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
иду - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бороду - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
забуду - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вижу - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
подхожу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лавку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
циновку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
водку - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
человеку - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
ямщику - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
толку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
каролинку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
шапку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
руку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ручку - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чашку - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
мало-помалу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
генералу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ему - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
нему - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
по-тамошнему - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
своему - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
моему - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чему - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
почему - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
нашему - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
молодому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глубокому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
всякому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
оголелому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
постоялому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
самому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
проложенному - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бурному - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
старому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вожатому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
потому - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ну - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
одну - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
спину - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полтину - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
мужчину - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сторону - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
двору - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поутру - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
часу - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
повесу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
плату - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
месту - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
росту - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
минуту - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
опыту - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
эту - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
сверху - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
границу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
горницу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
навстречу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
савельичу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тучу - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
